epoch,train_loss,train_acc,train_f1,train_f1_w,val_loss,val_acc,val_f1,val_f1_w,lr
1,0.9659786032309386,0.6057019903173749,0.5651656183960778,0.6389964578595286,0.873431469163587,0.7661290322580645,0.6993875847495395,0.7772833173609607,0.0001
2,0.8538391198311652,0.7305002689618074,0.6752645941806573,0.7483835950340066,0.8562225878879588,0.7419354838709677,0.6720366127837146,0.7548095857352218,0.0001
3,0.7933787092077533,0.7498655190962883,0.7051146721203998,0.7664849124291546,0.8546063246265534,0.7688172043010753,0.7109813604966306,0.7809330602778269,0.0001
4,0.7968481370619127,0.7627756858526089,0.7126042018646919,0.7779150874385983,0.8579702954138478,0.7473118279569892,0.6916715214516403,0.7633525396990877,0.0001
5,0.7751953733935671,0.7703066164604626,0.7297434153457091,0.7843302072485473,0.8805654478329484,0.7634408602150538,0.6835499017066603,0.772686399939406,0.0001
6,0.758719048364115,0.7912856374394835,0.746454314056494,0.8013784491874617,0.8598939667465866,0.760752688172043,0.6955693402784685,0.7717583355776213,0.0001
7,0.7275922494655402,0.7859064012910166,0.75216199349969,0.7973205026640658,0.864296640119245,0.7876344086021505,0.7189753608044462,0.7964572943244898,0.0001
8,0.7106798489674757,0.8058095750403442,0.7715175246402345,0.8164873845700243,0.8885538526760635,0.7661290322580645,0.6854812204724113,0.7759495771510319,0.0001
9,0.6739700326616883,0.8251748251748252,0.7928423628440054,0.8327909871343777,0.9150269672434818,0.75,0.6794475741744496,0.7652974952324387,0.0001
10,0.6354003051328941,0.8526089295320065,0.8317589232531328,0.8587512982056098,0.9119009574254354,0.760752688172043,0.6986614631474444,0.7727855502953482,0.0001
11,0.6139527357285096,0.8633674018289403,0.8387492468205178,0.868834453228256,0.9142077488283957,0.7634408602150538,0.6878805719764122,0.7696243059798961,5e-05
12,0.5960083906851897,0.8784292630446476,0.863312574726777,0.8828825974156519,0.9361652084576186,0.7688172043010753,0.6917217824650564,0.7753165038368691,5e-05
13,0.5877527786301566,0.8784292630446476,0.8573181036587804,0.8825442192539521,0.9286054283060053,0.7634408602150538,0.697516317898585,0.7747525808823246,5e-05
14,0.5643399093919316,0.9085529854760624,0.8917003592141052,0.911029885824012,0.9497570504424393,0.7688172043010753,0.691797524227315,0.7730604682075982,5e-05
15,0.5603111579637492,0.9010220548682087,0.8879872523880357,0.9036023128427259,0.9397773704221172,0.7741935483870968,0.6969958881629118,0.7793684775949747,5e-05
16,0.5395981495966509,0.9128563743948359,0.8992211443429042,0.9150264202864439,0.9667454727234379,0.7688172043010753,0.6947124169683079,0.7749951703631088,5e-05
17,0.5435440669847215,0.9182356105433028,0.9046526266194098,0.9202349095580467,0.9877414190641014,0.7634408602150538,0.6874505928853755,0.7706277359853797,5e-05
