epoch,train_loss,train_acc,train_f1,train_f1_w,val_loss,val_acc,val_f1,val_f1_w,lr
1,0.9422795634041428,0.6772458310919849,0.6092219756903469,0.7003218827983658,0.8828442699165755,0.7150537634408602,0.6850639310610497,0.7378946846990849,0.0001
2,0.864105188763225,0.7165142549757935,0.6576060991178201,0.7339562636246123,0.8894840517351704,0.7768817204301075,0.6967167130378925,0.7756969736717678,0.0001
3,0.8465064215429243,0.7315761161915008,0.6794698217993137,0.7510837580741022,0.8935555706741989,0.7231182795698925,0.6650338732201909,0.7406446624560841,0.0001
4,0.7793231316315609,0.7686928456159225,0.7249620414986041,0.7809611245220459,1.0868803467801822,0.6881720430107527,0.5043155353218294,0.6770760845454288,0.0001
5,0.7913343866644783,0.7692307692307693,0.7187536459840363,0.7825964522874547,0.9336020581183895,0.7526881720430108,0.6443361121313641,0.7468346812554546,0.0001
6,0.7617438523085801,0.7880580957504034,0.7478460442548337,0.8000102194000843,0.9172758568999588,0.7688172043010753,0.678490863592805,0.7715549031227908,0.0001
7,0.7349179413384042,0.8101129639591178,0.7720118139034652,0.8192654876429682,0.9290894981353514,0.7338709677419355,0.6632685254145766,0.7489160949672722,0.0001
8,0.7435480344673842,0.7848305540613233,0.742457910605198,0.7978707807820582,1.021979598588841,0.6666666666666666,0.522637744259576,0.6749431099028061,0.0001
9,0.7196824387749913,0.8101129639591178,0.7750685526562142,0.8182054011442764,1.1813570748093307,0.6827956989247311,0.5724454775790365,0.696037344143643,0.0001
10,0.7073304002935236,0.8230231307154384,0.7869550371573103,0.8316868845416776,0.9481411480134533,0.760752688172043,0.6627952038740421,0.7515062697233759,0.0001
11,0.636957706543885,0.8671328671328671,0.8465024372352451,0.8723444256171504,0.9243784130260508,0.7338709677419355,0.673826867203426,0.7487203925604692,5e-05
12,0.5977097133464105,0.8875739644970414,0.8663712782185811,0.8913795081477621,0.9737455178332585,0.7634408602150538,0.6876012786015987,0.7733748232643904,5e-05
