arquitectura,f1_macro_val,accuracy,f1_macro,f1_weighted,f1_bajo,precision_bajo,recall_bajo,f1_medio,precision_medio,recall_medio,f1_alto,precision_alto,recall_alto
resnet18,0.6967167130378925,0.771505376344086,0.7038256937452528,0.7817186500535898,0.8805309734513275,0.9386792452830188,0.8291666666666667,0.5269461077844312,0.4835164835164835,0.5789473684210527,0.704,0.6376811594202898,0.7857142857142857
resnet50,0.7110562143170839,0.7634408602150538,0.7033426047918802,0.7727705605218461,0.8608695652173913,0.9,0.825,0.5454545454545454,0.48,0.631578947368421,0.7037037037037037,0.7307692307692307,0.6785714285714286
efficientnet_b0,0.7189753608044462,0.7526881720430108,0.6908042955477018,0.7710594178906616,0.867579908675799,0.9595959595959596,0.7916666666666666,0.5572139303482587,0.448,0.7368421052631579,0.6476190476190476,0.6938775510204082,0.6071428571428571
