OBJECTID,ID_DGC_03,id_dgc,ubigeo_cia_registro,id_comisaria_registro,comisaria_registro,ubic_comisaria_registro,fecha_hora_registro_hecho,ubigeo_cia_hecho,comisaria_hecho,tipo_via_hecho,cuadra_hecho,direccion_hecho,fecha_hora_hecho,turno_hecho,año_hecho,mes_hecho,dia_hecho,ubigeo_hecho_delito,lat_hecho,long_hecho,id_dpto_hecho,departamento_hecho,id_prov_hecho,provincia_hecho,id_dist_hecho,distrito_hecho,solo_denuncia,cod_uni_hecho,cod_cpnp_hecho,id_materia_hecho,materia_hecho,id_tipo_hecho,tipo_hecho,id_subtipo_hecho,subtipo_hecho,id_modalidad_hecho,modalidad_hecho,cod_macroregpol_hecho,macroregpol_hecho,cod_regpol_hecho,regionpol_hecho,cod_divpol_divopus_hecho,divpol_divopus_hecho,fecha_actualizacion,fuente,estado,GlobalID,Display Expression,x,y
152209,318029231050101,31802923,150104,4388,COMTUR LIMA SUR,Calle. Gral. Vidal 230,"March 1, 2025",150141,CPNP SAN ANTONIO-MIRAFLORES,Otros,,"AV. REDUCTO 1583, MIRAFLORES 15074, PERÚ","March 1, 2025",madrugada,2025,3,1,150122,-12.13449049999997,-77.02298109999998,15,LIMA METROPOLITANA,1501,LIMA,150122,MIRAFLORES,1,220093,2220,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"October 31, 2025",SIDPOL-DGIS,1,1a735218-1738-4f2d-91f9-f66c9d4496c5,318029231050101,-77.02298109999998,-12.13449049999997
152250,318030531050101,31803053,150101,1376,LAURA CALLER,JR. MARAÑON CUADRA 8 AV. UNIVERSITARIA,"March 1, 2025",150117,CPNP LAURA CALLER IBERICO,Otros,,"C. EMILIO DE LOS RIOS, LOS OLIVOS 15304, PERÚ","March 1, 2025",tarde,2025,3,1,150117,-11.970154999999977,-77.07305889999998,15,LIMA METROPOLITANA,1501,LIMA,150117,LOS OLIVOS,1,219666,1805,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1D,DIVPOL NORTE 1,"October 31, 2025",SIDPOL-DGIS,1,1df7d994-d537-4007-a46b-5999072cf322,318030531050101,-77.07305889999998,-11.970154999999977
152311,318032041050122,31803204,150131,1448,SAN ISIDRO,CALLE ANTEQUERA N° 116,"March 1, 2025",150131,CPNP SAN ISIDRO,Otros,,"C. ARMANDO BLONDET 124, LIMA 15047, PERÚ","March 1, 2025",tarde,2025,3,1,150131,-12.095196599999952,-77.02252849999996,15,LIMA METROPOLITANA,1501,LIMA,150131,SAN ISIDRO,1,220066,2217,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050122,HURTO DE CELULAR,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"October 31, 2025",SIDPOL-DGIS,1,7090bb75-eb79-44f3-b309-d9ddec9497f1,318032041050122,-77.02252849999996,-12.095196599999952
152418,318034191050101,31803419,150101,1376,LAURA CALLER,JR. MARAÑON CUADRA 8 AV. UNIVERSITARIA,"March 1, 2025",150135,CPNP BARBONCITOS,Otros,,"JIRÓN JUNÍN 3833, SAN MARTÍN DE PORRES 15106, PERÚ","March 1, 2025",mañana,2025,3,1,150135,-12.02983219999993,-77.08987189999993,15,LIMA METROPOLITANA,1501,LIMA,150135,SAN MARTIN DE PORRES,1,219791,1930,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1F,DIVPOL NORTE 3,"October 31, 2025",SIDPOL-DGIS,1,e28c6470-2360-428a-82c1-53eb4edd84a2,318034191050101,-77.08987189999993,-12.02983219999993
152700,318040341050119,31804034,150101,1376,LAURA CALLER,JR. MARAÑON CUADRA 8 AV. UNIVERSITARIA,"March 1, 2025",150117,CPNP LAURA CALLER IBERICO,Otros,,"MIGUEL ORTIZ 656, LIMA 15304, PERÚ","March 1, 2025",madrugada,2025,3,1,150117,-11.971573099999944,-77.07498739999994,15,LIMA METROPOLITANA,1501,LIMA,150117,LOS OLIVOS,1,219666,1805,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050119,HURTO DE VEHICULO,13,LIMA,13R2,LIMA,13R1D,DIVPOL NORTE 1,"October 31, 2025",SIDPOL-DGIS,1,169ab105-3f3e-4324-b662-5ea34cde0ef1,318040341050119,-77.07498739999994,-11.971573099999944
152933,318045241050119,31804524,150119,1474,LURÍN,Jr. Union 160,"March 1, 2025",150119,CPNP LURIN,Otros,,"AV LAS GAVIOTAS, LURIN LIMA 15846, PERÚ","March 1, 2025",tarde,2025,3,1,150119,-12.302755599999955,-76.85083629999997,15,LIMA METROPOLITANA,1501,LIMA,150119,LURIN,1,220192,2304,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050119,HURTO DE VEHICULO,13,LIMA,13R2,LIMA,13R1O,DIVPOL SUR 3,"October 31, 2025",SIDPOL-DGIS,1,a8740a18-e296-41c9-97a5-5e685df06e78,318045241050119,-76.85083629999997,-12.302755599999955
152936,318045951050107,31804595,150118,1446,HUACHIPA,AV MEIGGS - MIRAFLORES ALTO,"March 1, 2025",150118,CPNP HUACHIPA,Otros,,"AU. RAMIRO PRIALÉ, PERÚ","March 1, 2025",tarde,2025,3,1,150118,-12.02108359999994,-76.93096889999998,15,LIMA METROPOLITANA,1501,LIMA,150118,LURIGANCHO,1,219979,2170,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,13,LIMA,13R2,LIMA,13R1K,DIVPOL ESTE 1,"October 31, 2025",SIDPOL-DGIS,1,8bf5a892-07d4-4324-88ef-d0aef17546b8,318045951050107,-76.93096889999998,-12.02108359999994
152939,318046111050107,31804611,150101,2304,DIVINROB - DIRINCRI,AV. ESPAÑA 323 CERCADO DE LIMA,"March 1, 2025",150122,CPNP MIRAFLORES,Otros,,"PJE. SAN RAMÓN, MIRAFLORES 15074, PERÚ","March 1, 2025",madrugada,2025,3,1,150122,-12.121676899999954,-77.03127039999998,15,LIMA METROPOLITANA,1501,LIMA,150122,MIRAFLORES,1,220090,2215,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"October 31, 2025",SIDPOL-DGIS,1,46afad90-74ea-472c-ac0a-3ee6f0d668a3,318046111050107,-77.03127039999998,-12.121676899999954
153118,318049611050101,31804961,150101,1423,SAN CAYETANO,"Jr. Urb. San Cayetano, Sucre 190","March 1, 2025",150111,CPNP SAN CAYETANO,Otros,,"ALTO DE LA ALIANZA & AVENIDA MIGUEL GRAU, LIMA 15018, PERÚ","March 1, 2025",noche,2025,3,1,150101,-12.055636599999957,-77.01383019999997,15,LIMA METROPOLITANA,1501,LIMA,150101,LIMA,1,219920,2055,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1J,DIVPOL CENTRO 2,"October 31, 2025",SIDPOL-DGIS,1,dd2866f2-39c2-42be-b1ed-0fbee921af2a,318049611050101,-77.01383019999997,-12.055636599999957
153449,318056491050107,31805649,150122,1455,MIRAFLORES,AV. GENERAL VIDAL N° 230,"March 2, 2025",150122,CPNP MIRAFLORES,Otros,,"AV. LA PAZ 397, MIRAFLORES 15074, PERÚ","March 1, 2025",tarde,2025,3,1,150122,-12.121250699999962,-77.02671559999999,15,LIMA METROPOLITANA,1501,LIMA,150122,MIRAFLORES,1,220090,2215,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"October 31, 2025",SIDPOL-DGIS,1,0666d026-4fab-4c7c-9045-53335137df3f,318056491050107,-77.02671559999999,-12.121250699999962
