OBJECTID,ID_DGC_03,id_dgc,ubigeo_cia_registro,id_comisaria_registro,comisaria_registro,ubic_comisaria_registro,fecha_hora_registro_hecho,ubigeo_cia_hecho,comisaria_hecho,tipo_via_hecho,cuadra_hecho,direccion_hecho,fecha_hora_hecho,turno_hecho,año_hecho,mes_hecho,dia_hecho,ubigeo_hecho_delito,lat_hecho,long_hecho,id_dpto_hecho,departamento_hecho,id_prov_hecho,provincia_hecho,id_dist_hecho,distrito_hecho,solo_denuncia,cod_uni_hecho,cod_cpnp_hecho,id_materia_hecho,materia_hecho,id_tipo_hecho,tipo_hecho,id_subtipo_hecho,subtipo_hecho,id_modalidad_hecho,modalidad_hecho,cod_macroregpol_hecho,macroregpol_hecho,cod_regpol_hecho,regionpol_hecho,cod_divpol_divopus_hecho,divpol_divopus_hecho,fecha_actualizacion,fuente,estado,GlobalID,Display Expression,x,y
315,313229221050121,31322922,150105,1402,BREÑA,JR. GENERAL VARELA NRO. 1978,"January 1, 2025",150105,CPNP BREÑA,Otros,,"JR. INDEPENDENCIA 507, LIMA 15083, PERÚ","January 1, 2025",madrugada,2025,1,1,150105,-12.060998799999936,-77.04937469999999,15,LIMA METROPOLITANA,1501,LIMA,150105,BREÑA,1,219819,1954,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050121,HURTO DE ACCESORIOS Y AUTOPARTES DE VEHICULOS,13,LIMA,13R2,LIMA,13R1H,DIVPOL OESTE,"October 31, 2025",SIDPOL-DGIS,1,9cbf49b4-cbf3-4e2b-8461-d66a3e357f07,313229221050121,-77.04937469999999,-12.060998799999936
546,313236301050107,31323630,150101,1434,SAN LUIS,CALLE  JOSE  ORENGO  N°903,"January 1, 2025",150134,CPNP SAN LUIS,Otros,,AV CANADA CON LA AV AGUSTIN DE LA ROSA TORO (REF. BANCO BBVA),"January 1, 2025",mañana,2025,1,1,150134,-12.080854099999954,-76.99385399999994,15,LIMA METROPOLITANA,1501,LIMA,150134,SAN LUIS,1,219929,2114,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,13,LIMA,13R2,LIMA,13R1J,DIVPOL CENTRO 2,"October 31, 2025",SIDPOL-DGIS,1,1a2d9872-134f-444d-865a-e9f804d9a60b,313236301050107,-76.99385399999994,-12.080854099999954
689,313240001050122,31324000,150142,1466,VILLA EL SALVADOR,AV. CESAR VALLEJO CON AV. REVOLUCION S/N,"January 1, 2025",150142,CPNP VILLA EL SALVADOR,Otros,,"VILLA EL SALVADOR SECTOR III GRUPO 25, LIMA 15834, PERÚ","January 1, 2025",tarde,2025,1,1,150142,-12.217757199999937,-76.94198029999995,15,LIMA METROPOLITANA,1501,LIMA,150142,VILLA EL SALVADOR,1,220145,2270,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050122,HURTO DE CELULAR,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"October 31, 2025",SIDPOL-DGIS,1,d4a366df-7313-4c28-a139-d42128694c43,313240001050122,-76.94198029999995,-12.217757199999937
719,313239981050122,31323998,150142,1466,VILLA EL SALVADOR,AV. CESAR VALLEJO CON AV. REVOLUCION S/N,"January 1, 2025",150142,CPNP VILLA EL SALVADOR,Otros,,CALLE LOS PROYECTISTAS MZ 63 LT13 VES,"January 1, 2025",tarde,2025,1,1,150142,-12.217757199999937,-76.94198029999995,15,LIMA METROPOLITANA,1501,LIMA,150142,VILLA EL SALVADOR,1,220145,2270,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050122,HURTO DE CELULAR,13,LIMA,13R2,LIMA,13R1N,DIVPOL SUR 2,"October 31, 2025",SIDPOL-DGIS,1,a229d97e-a10f-4ac1-8275-115cdda7f979,313239981050122,-76.94198029999995,-12.217757199999937
814,313244321050101,31324432,150135,1401,BARBONCITOS,JR. SAN SALVADOR 432 SMP,"January 1, 2025",150135,CPNP BARBONCITOS,Otros,,"AV. PERÚ 3500, SAN MARTÍN DE PORRES 15106, PERÚ","January 1, 2025",tarde,2025,1,1,150135,-12.030625099999952,-77.08548439999998,15,LIMA METROPOLITANA,1501,LIMA,150135,SAN MARTIN DE PORRES,1,219791,1930,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1F,DIVPOL NORTE 3,"October 31, 2025",SIDPOL-DGIS,1,c0454b7b-c216-4ada-9cfb-820959e14629,313244321050101,-77.08548439999998,-12.030625099999952
876,313246201050101,31324620,150110,1393,UNIVERSITARIA,Jr.Pedro Paulet/ Jr.Jose Carlos Mariategui-LA PASCANA,"January 1, 2025",150110,CPNP UNIVERSITARIA,Otros,,"AV GUILLERMO DE LA FUENTE, COMAS, PERÚ","January 1, 2025",mañana,2025,1,1,150110,-11.943859799999927,-77.05838269999998,15,LIMA METROPOLITANA,1501,LIMA,150110,COMAS,1,219740,1890,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1E,DIVPOL NORTE 2,"October 31, 2025",SIDPOL-DGIS,1,7ffb287b-f39d-4726-bc5f-3bf12d1a817e,313246201050101,-77.05838269999998,-11.943859799999927
1593,313267931050101,31326793,150103,1440,SALAMANCA,CALLE AYMARAS 265 - ATE,"January 2, 2025",150103,CPNP SALAMANCA,Otros,,"PARACAS 465, LIMA 15022, PERÚ","January 1, 2025",mañana,2025,1,1,150103,-12.077185999999926,-76.98562599999997,15,LIMA METROPOLITANA,1501,LIMA,150103,ATE,1,220020,2140,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1M,DIVPOL ESTE 2,"October 31, 2025",SIDPOL-DGIS,1,d7fba4e7-a348-49f7-ae4f-a5f501a79e18,313267931050101,-76.98562599999997,-12.077185999999926
1628,313272041050122,31327204,150131,1448,SAN ISIDRO,CALLE ANTEQUERA N° 116,"January 2, 2025",150131,CPNP SAN ISIDRO,Otros,,"AV. JAVIER PRADO ESTE & AV. PASEO PARODI, SAN ISIDRO 15046, PERÚ","January 2, 2025",mañana,2025,1,2,150131,-12.09191809999993,-77.03010599999999,15,LIMA METROPOLITANA,1501,LIMA,150131,SAN ISIDRO,1,220066,2217,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050122,HURTO DE CELULAR,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"October 31, 2025",SIDPOL-DGIS,1,3b013891-5a69-4628-adb8-1652e061b96d,313272041050122,-77.03010599999999,-12.09191809999993
1880,313293641050101,31329364,150141,1450,SURQUILLO,JR. ALFREDO GALEON CUADRA 3RA,"January 2, 2025",150141,CPNP SURQUILLO,Otros,,"GONZÁLES PRADA, SURQUILLO, PERÚ","January 2, 2025",mañana,2025,1,2,150141,-12.116541799999936,-77.02287519999999,15,LIMA METROPOLITANA,1501,LIMA,150141,SURQUILLO,1,220072,2190,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1I,DIVPOL SUR 1,"October 31, 2025",SIDPOL-DGIS,1,bd8e2f9a-3c1f-4eb6-be3e-674534cf992b,313293641050101,-77.02287519999999,-12.116541799999936
2132,313306111050101,31330611,150136,1406,MARANGA,AV. LOS PRECURSORES,"January 2, 2025",150136,CPNP MARANGA,Otros,,"QUIQUIJANA 121, LIMA 15088, PERÚ","January 2, 2025",tarde,2025,1,2,150136,-12.066783999999927,-77.09820659999997,15,LIMA METROPOLITANA,1501,LIMA,150136,SAN MIGUEL,1,219834,1970,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,13,LIMA,13R2,LIMA,13R1H,DIVPOL OESTE,"October 31, 2025",SIDPOL-DGIS,1,e361daa6-5288-4493-a526-ac7f7164c0c7,313306111050101,-77.09820659999997,-12.066783999999927
